编号,单字,音韵地位,老男音,青男音
0001,多,果开一平歌端,to534,to534
0002,拖,果开一平歌透,t'ho534文,t'ho534文
0003,大,果开一去歌定,do24,do24
0004,锣,果开一平歌来,lo213,lo213
0005,左,果开一上歌精,tso53,tso53
0006,歌,果开一平歌见,ko534,ko534
0007,个,果开一去歌见,ka334 / ko334,ko334
0008,可,果开一上歌溪,kho53,kho53
0009,鹅,果开一平歌疑,no213,no213
0010,饿,果开一去歌疑,no24,no24
0011,河,果开一平歌匣,o213,o213
0012,茄,果开三平戈群,dzia213,dzia213
0013,破,果合一去戈,p'ha334白 / p'ho334文,p'ha334白 / p'ho334文
0014,婆,果合一平戈並,bo213,bo213
0015,磨(动),果合一平戈明,mo213,mo213
0016,磨(名),果合一去戈明,mo24,mo24
0017,躲,果合一上戈端,to53,to53
0018,螺,果合一平戈来,lo213,lo213
0019,锁,果合一上戈心,so53,so53
0020,坐,果合一上戈从,ko53,ko53
0021,果,果合一上戈见,ko334,ko334
0022,过,果合一去戈见,ko334,ko334
0023,课,果合一去戈溪,kho334,kho334
0024,火,果合一上戈晓,ho53,ho53
0025,货,果合一去戈晓,ho334,ho334
0026,祸,果合一上戈匣,o24,o223
0027,靴,果合三平戈晓,ey53,eyap5
0028,把(量),假开二上麻帮,po334,po53
0029,爬,假开二平麻並,bo213,bo213
0030,马,假开二上麻明,mo22,mo223
0031,骂,假开二去麻明,mo24,mo24
0032,茶,假开二平麻澄,dzo213,dzo213
0033,沙,假开二平麻生,so534,so534
0034,假,假开二上麻见,ko53,ko53
0035,嫁,假开二去麻见,ko334白 / teia334文,ko334
0036,牙,假开二平麻疑,no213,no213
0037,虾,假开二平麻晓,ho534,ho534
0038,下,假开二上麻匣,o24,o223
0039,夏,假开二去麻匣,o24,o223
0040,哑,假开二上麻影,o53,o53
0041,姐,假开三上麻精,(无),(无)
0042,借,假开三去麻精,teia334,teia334
0043,写,假开三上麻心,cia53,cia53
0044,斜,假开三平麻邪,zia213,zia213
0045,谢,假开三去麻邪,zia24,zia24
0046,车,假开三平麻昌,tsho34,tsho34
0047,蛇,假开三平麻船,zo213,zo213
0048,射,假开三去麻船,zo24,zo223
0049,爷,假开三平麻以,ia213,ia213
0050,野,假开三上麻以,ia24,ia223
0051,夜,假开三去麻以,ia24,ia24
0052,瓜,假合二平麻见,kuo534,kuo534
0053,瓦(名),假合二上麻疑,no24,no223
0054,花,假合二平麻晓,fo534,fo534
0055,化,假合二去麻晓,fo534,fo334
0056,华,假合二平麻匣,uo213,uo213
0057,谱,遇合一上模帮,pu53,pu53
0058,布,遇合一去模帮,pu334,pu334
0059,辅,遇合一平模滂,ph534,ph534
0060,簿,遇合一上模並,bu24,bu24
0061,步,遇合一去模並,bu24,tu53
0062,赌,遇合一上模端,tu53,tu53
0063,土,遇合一上模透,thu53,thu53
0064,图,遇合一平模定,du213,du213
0065,杜,遇合一上模定,du24,du24
0066,奴,遇合一平模泥,nu213,nu213
0067,路,遇合一去模来,lu24,lu24
0068,租,遇合一平模精,tsu534,tsy534
0069,做,遇合一去模精,tso334,tso334
0070,错,遇合一去模清,tsho334,tsho334
0071,箍,遇合一平模见,khu534,ku334
0072,古,遇合一上模见,ku53,ku53
0073,苦,遇合一上模溪,khu53,khu53
0074,裤,遇合一去模溪,khu334,khu334
0075,吴,遇合一平模疑,u213,u213
0076,五,遇合一上模疑,u22,u24
0077,虎,遇合一上模晓,fu53,fu53
0078,壶,遇合一平模匣,u213,u213
0079,户,遇合一上模匣,u24,u24
0080,乌,遇合一平模影,u534,u534
0081,女,遇合三上鱼泥,ny22,ny24
0082,吕,遇合三上鱼来,li22,li213
0083,徐,遇合三平鱼邪,dzi213,dzi213
0084,猪,遇合三平鱼知,tsy53,tsy534
0085,除,遇合三平鱼澄,dzj213,dzj213
0086,初,遇合三平鱼初,tshu534,tshu534
0087,锄,遇合三平鱼崇,z1²13名 / dzj213动,dzj213
0088,所,遇合三上鱼生,so53,so53
0089,书,遇合三平鱼书,s1 534,s1 534
0090,鼠,遇合三上鱼书,tsh53,tsh53
0091,如,遇合三平鱼日,z213,lu213
0092,举,遇合三上鱼见,tey53,tey53
0093,锯(名),遇合三去鱼见,ka53,ka53
0094,去,遇合三去鱼溪,tehy334文,tehi334
0095,渠,遇合三平鱼群,dzy213,dzy213
0096,鱼,遇合三平鱼疑,q213,q213
0097,许,遇合三上鱼晓,ey53,ey53
0098,余,遇合三平鱼以,y213,y213
0099,府,遇合三上虞非,fu334,fu53
0100,付,遇合三去虞非,fu334,fu334
0101,父,遇合三上虞奉,u24,fu53
0102,武,遇合三上虞微,u24,u223
0103,雾,遇合三去虞微,u24,u223
0104,取,遇合三上虞清,tsh53,tchy53
0105,柱,遇合三上虞澄,dz124,dz124
0106,住,遇合三去虞澄,dz124,dz124
0107,数(动),遇合三上虞生,su53,su334
0108,数(名),遇合三去虞生,su334,su334
0109,主,遇合三上虞章,ts13,ts153
0110,输,遇合三平虞书,s134,s134
0111,竖,遇合三上虞禅,z122,z124
0112,树,遇合三去虞禅,z124,z124
0113,句,遇合三去虞见,tey334,tey334
0114,区,遇合三平虞溪,tehy534,tehy534
0115,遇,遇合三去虞疑,y24,y24
0116,雨,遇合三上虞云,y24,y24
0117,芋,遇合三去虞云,y24,y24
0118,裕,遇合三去虞以,y24,y24
0119,胎,蟹开一平哈透,tE534,tE534
0120,台,蟹开一平哈定,dE213,dE213
0121,袋,蟹开一去哈定,dE24,dE24
0122,来,蟹开一平哈来,le213,le213
0123,菜,蟹开一去哈清,tsHE334,tsHE334
0124,财,蟹开一平哈从,dze213,dze213
0125,该,蟹开一平哈见,kE534,kE534
0126,改,蟹开一上哈见,kE53,kE53
