部分,类别名称,起始编号,结束编号,内容简介,源文件是否含词条,分类说明
第一部分,一、天文地理,0001,0058,太阳、月亮、天气、风雨雷电、地形地貌等,否,源文件未收录该部分（原书编号跳跃/未提取）
第二部分,二、时间方位,0065,0136,年节日期、一天中的时间、方位词等,否,源文件未收录该部分（原书编号跳跃/未提取）
第三部分,三、植物,0141,0220,各类树木、花草、粮食作物、蔬菜等,是,
第四部分,四、动物,0221,0294,家禽家畜、飞禽走兽、虫类等,是,原表止0288；源文件0289-0294仍为禽畜相关，归类延至0294
第五部分,五、房舍器具,0295,0362,房屋建筑、卧室厨房、各类生活用具等,是,
第六部分,六、服饰饮食,0363,0448,衣物鞋帽、米饭面食、烟酒糖茶、烹饪方式等,是,
第七部分,七、身体医疗,0449,0527,人体器官、肢体动作、疾病、看病抓药等,是,原表写至0537；因0528起为婚丧内容，实际归类截止0527
第八部分,八、婚丧信仰,0528,0573,结婚生子、丧葬祭祀、神仙传说等,是,原表0528-0560；源文件0561-0573仍为信仰类，归类延至0573；与第七部分原表区间重叠时以婚丧为准
第九部分,九、人品称谓,0574,0661,各类人的称呼、亲属称谓、职业身份等,是,原表自0561起；源文件人品称谓自0574「人」起
第十部分,十、农工商文,0662,0746,农业生产、商业买卖、文教娱乐等,是,
第十一部分,十一、动作行为,0747,0928,日常动作、心理活动、言谈举止、感官等,是,
第十二部分,十二、性质状态,0929,1061,颜色、形状、程度、好坏、性格特征等,是,
第十三部分,十三、数量,1062,1128,数字、数量词、量词等,是,
第十四部分,十四、代副词连词,1129,1200,人称代词、指示代词、疑问词、副词连词等,是,
