编号,词条,方言注音,部分,类别名称,类别简介,备注
0141,起来天冷~了,起来 tɕʰi²³ ɦie³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0142,树,树 zɿ²²,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0143,木头,木头 moʔ² dɤ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0144,松树统称,松树 soŋ³³ zɿ²³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0145,柏树统称,柏树 paʔ⁵ zɿ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0146,杉树,杉树 sɛ̃³³ zɿ³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0147,柳树,杨柳树 iaŋ³³ liɤ³³ zɿ²²,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0148,竹子统称,竹 tsoʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0149,笋,笋 ɕiŋ³³⁴,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0150,叶子,叶 ɕieʔ² lɛ̃³³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0151,花,花 huo⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0152,花蕾花骨朵,花苞 huo⁵³ pɔ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0153,梅花,梅花 mɛ²² huo⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0154,牡丹,牡丹 mɔ̃²⁴ tɛ̃³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0155,荷花,荷花 õ² huo⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0156,草,草 tsʰɔ̃⁵³⁴,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0157,藤,藤 dəŋ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0158,刺名词,刺 tsʰɿ²²,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0159,水果,水果 sɿ⁴⁴ ku³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0160,苹果,苹果 biŋ²² ku³³⁴,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0161,桃子,桃子 dɔ²² tsɿ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0162,梨,梨头 li²² dɤ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0163,李子,李子 li⁴⁴ tsɿ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0164,杏,杏子 ɦaŋ²⁴ tsɿ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0165,橘子,橘子 tɕiɔʔ⁵ tsɿ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0166,柚子,香泡 ɕiaŋ³³ pʰɔ̃⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0167,柿子,柿子 zɿ²⁴ tsɿ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0168,石榴,石榴 zoʔ² liɤ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0169,枣,白核桃 bɐʔ² ɦuɔ²² tsɔ³³⁴,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0170,栗子,栗子 ɦieʔ² tsɿ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0171,核桃,核桃 u⁵³ dɔ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0172,银杏白果,白果 ɦɐʔ² ku⁴⁴ ɦu³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0173,甘蔗,甘蔗 kɛ̃²² tso³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0174,木耳,木耳 moʔ² ɦəl²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0175,蘑菇野生的,蕈 ɕiŋ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0176,香菇,香菇 ɕiaŋ³³ ku⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0177,稻子结植物,稻 dɔ²³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0178,稻谷稻粒,谷 kuɔʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0179,稻草,稻草 dɔ²² tsʰɔ̃³⁴,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0180,大麦,大麦 do²² mɐʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0181,小麦,小麦 ɕiɔ³³ mɐʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0182,麦秸脱粒后的,麦秆草 mɐʔ⁵ kɛ̃⁴⁴ tsʰɔ̃³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0183,谷子,（无）,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0184,高粱,打粟 taŋ⁴⁴ soʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0185,玉米,玉粟 ɲiɔʔ² soʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0186,棉花,棉花 mie²² huo⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0187,油菜籽,油菜 ɦiɤ²² tsʰɛ³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0188,芝麻,芝麻 tsɿ³³ mo³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0189,向日葵,向日葵 ɕiaŋ³³ zəʔ² guɛ²²,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0190,蚕豆,罗汉豆 lo²² ɦɛ³³ dɤ³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0191,豌豆,蚕豆 zɛ²² dɤ²²,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0192,花生,长生果 dzaŋ²² səŋ⁴⁴ ku³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0193,黄豆,花生 ɦuo³³ səŋ³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0194,绿豆,毛豆 mɔ²² dɤ²²,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0195,豇豆,绿豆 loʔ² dɤ²²,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0196,大白菜,长豇豆 dzaŋ²² kɔŋ³³ dɤ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0197,包心菜,胶菜 tɕiɔ³³ tsʰɛ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0198,菠菜,包心菜 pɔ³³ ɕiŋ⁵³ tsʰɛ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0199,芹菜,菠菜 po³³ tsʰɛ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0200,莴笋,芹菜 dʑiŋ²² tsʰɛ³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0201,韭菜,莴苣笋 o³³ tɕy⁴⁴ ɕiŋ³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0202,香菜,韭菜 tɕiɤ⁴⁴ tsʰɛ³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0203,葱,香菜 ɕiaŋ³³ tsʰɛ³³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0204,蒜,葱 tsʰoŋ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0205,姜,大蒜 da²² sɔ̃³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0206,洋葱,生姜 sã³³ tɕiaŋ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0207,辣椒,金葱头 tɕiŋ³³ tsʰoŋ⁴⁴ dɤ³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0208,茄子,辣茄 lɛʔ² dʑia³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0209,西红柿,茄子 dʑia²² tsɿ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0210,萝卜,番茄 fɛ̃³³ dʑia³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0211,胡萝卜,萝卜 lo²² boʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0212,黄瓜,胡萝卜 u²² lo²² boʔ⁵,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0213,丝瓜,黄瓜 uaŋ²² kuɔ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0214,南瓜,丝瓜 sɿ³³ kuɔ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0215,荸荠,南瓜 nɔ̃²² kuɔ⁵³,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0216,红薯,蒲荠 bu²² dʑi³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
0217,马铃薯,番芋 fɛ̃³³ ɦy³¹,第三部分,三、植物,各类树木、花草、粮食作物、蔬菜等,
